psgc,name,correspondence_code,geographic_level,old_names,city_class,income_classification,urban_rural,population_2015,,population_2020,,status
1908801003,Kamasi,153801012,Bgy,,,,R,2738,,2992,,
1908801002,Kakal,153801011,Bgy,,,,R,1537,,1694,,
1908801001,Dicalongan ,153801004,Bgy,,,,R,4243,,4531,,Pob.
1908801000,Ampatuan,153801000,Mun,,,4th,,24801,,28941,,
1908713023,Tinungkaan,153815042,Bgy,,,,R,2466,,2666,,
1908713022,Sefegefen,153815036,Bgy,,,,R,1459,,1544,,
1908713021,Rifao,153815034,Bgy,,,,U,1114,,1208,,
1908713020,Renti,153815032,Bgy,,,,R,1197,,1266,,
1908713019,Renede,153815031,Bgy,,,,R,1174,,1232,,
1908713018,Rempes,153815030,Bgy,,,,U,4857,,5029,,
1908713017,Ranao Pilayan,153815029,Bgy,,,,R,898,,1088,,
1908713016,Nuro Poblacion,153815025,Bgy,,,,U,7507,,8389,,
1908713015,Nangi,153815023,Bgy,,,,R,3684,,3909,,
1908713014,Mirab,153815022,Bgy,,,,R,1842,,2316,,
1908713013,Kinitan,153815017,Bgy,Kinitaan,,,R,1184,,1377,,
1908713012,Kiga,153815014,Bgy,,,,R,1472,,1559,,
1908713011,Kibucay,153815013,Bgy,,,,R,1678,,1763,,
1908713010,Kibleg,153815012,Bgy,,,,R,2147,,2454,,
1908713009,Kabakaba,153815010,Bgy,,,,R,1839,,2114,,
1908713008,Ganasi,153815009,Bgy,,,,R,1341,,1580,,
1908713007,Darugao,153815008,Bgy,,,,R,2979,,3272,,
1908713006,Bungcog,153815006,Bgy,,,,R,2252,,2426,,
1908713005,Bugabungan,153815005,Bgy,,,,R,2164,,2319,,
1908713004,Borongotan,153815002,Bgy,,,,R,3529,,4074,,
1908713003,Blensong,153815004,Bgy,,,,R,4178,,4540,,
1908713002,Bayabas,153815003,Bgy,,,,R,1202,,1402,,
